state,date,cases,deaths,incidence
KS,2020-07-05 00:00:00,16081,284,551.9830680798568
KY,2020-07-05 00:00:00,16376,585,366.54428379158463
LA,2020-07-05 00:00:00,65226,3288,1403.0735713391473
ME,2020-07-05 00:00:00,3415,109,254.05218819650472
MD,2020-07-05 00:00:00,69632,3243,1151.7645657725848
MA,2020-07-05 00:00:00,109974,8183,1595.5596972536682
MI,2020-07-05 00:00:00,72941,6218,730.3699251926809
MN,2020-07-05 00:00:00,38136,1508,676.2143345523256
MS,2020-07-05 00:00:00,30900,1111,1038.2544691142816
MO,2020-07-05 00:00:00,23816,1051,388.04528541923423
MT,2020-07-05 00:00:00,1212,23,113.4005378104714
NE,2020-07-05 00:00:00,19929,284,1030.2376747821556
NV,2020-07-05 00:00:00,22418,534,727.8202792326103
NH,2020-07-05 00:00:00,5897,381,433.695101385515
NJ,2020-07-05 00:00:00,173402,15211,1952.2437597034063
NM,2020-07-05 00:00:00,13256,513,632.1927062244943
NY,2020-07-05 00:00:00,397131,32206,2041.4308722192307
NC,2020-07-05 00:00:00,72992,1423,695.9517105316852
ND,2020-07-05 00:00:00,3816,80,500.746658408371
OH,2020-07-05 00:00:00,57150,2911,488.9170252628517
OK,2020-07-05 00:00:00,15931,398,402.6059326692058
OR,2020-07-05 00:00:00,10230,215,242.54712894616242
PA,2020-07-05 00:00:00,94403,6753,737.4088510777506
PR,2020-07-05 00:00:00,7916,155,269.85676728228736
RI,2020-07-05 00:00:00,16991,960,1603.891402458652
SC,2020-07-05 00:00:00,44847,820,871.0330385412745
SD,2020-07-05 00:00:00,7063,97,798.3867230198304
TN,2020-07-05 00:00:00,51316,645,751.4232321507696
TX,2020-07-05 00:00:00,194932,2628,672.2747965478269
UT,2020-07-05 00:00:00,24952,184,778.3009010099321
VT,2020-07-05 00:00:00,1249,56,200.16378493851659
VA,2020-07-05 00:00:00,65748,1853,770.2870792039711
WA,2020-07-05 00:00:00,35898,1359,471.41831145887414
WV,2020-07-05 00:00:00,3262,94,182.0163189738342
WI,2020-07-05 00:00:00,31577,796,542.3333265778539
WY,2020-07-05 00:00:00,1634,20,282.32822297363845
AL,2020-07-04 00:00:00,42862,1007,874.1664856618708
AK,2020-07-04 00:00:00,1107,16,151.32356861163703
AZ,2020-07-04 00:00:00,94567,1817,1299.2262235226347
AR,2020-07-04 00:00:00,23209,286,769.0691642001932
CA,2020-07-04 00:00:00,252895,6334,640.0424496490617
CO,2020-07-04 00:00:00,33849,1701,587.7852362046116
CT,2020-07-04 00:00:00,46717,4335,1310.3292946682836
DE,2020-07-04 00:00:00,11996,512,1231.9206707169294
DC,2020-07-04 00:00:00,10447,557,1480.2713145891812
FL,2020-07-04 00:00:00,190052,3702,884.8790726881515
GA,2020-07-04 00:00:00,93319,2857,878.9232566132102
HI,2020-07-04 00:00:00,999,19,70.55722551191069
ID,2020-07-04 00:00:00,7370,93,412.4080545475403
IL,2020-07-04 00:00:00,146612,7014,1156.9923533484255
IN,2020-07-04 00:00:00,47432,2687,704.5522434727687
IA,2020-07-04 00:00:00,31061,721,984.4789497538883
KS,2020-07-04 00:00:00,15911,283,546.1477890814378
KY,2020-07-04 00:00:00,16376,585,366.54428379158463
LA,2020-07-04 00:00:00,63289,3278,1361.4068508950925
ME,2020-07-04 00:00:00,3397,107,252.71311370527863
MD,2020-07-04 00:00:00,69341,3236,1146.9512114435433
MA,2020-07-04 00:00:00,109838,8172,1593.5865388814484
MI,2020-07-04 00:00:00,72581,6218,726.7651874859127
MN,2020-07-04 00:00:00,37624,1503,667.1357280049479
MS,2020-07-04 00:00:00,30674,1107,1030.6607632883972
MO,2020-07-04 00:00:00,23583,1050,384.24890687108666
MT,2020-07-04 00:00:00,1167,23,109.19012180265686
NE,2020-07-04 00:00:00,19827,284,1024.9647437355509
NV,2020-07-04 00:00:00,21575,530,700.4515355715748
NH,2020-07-04 00:00:00,5872,379,431.8564753833719
NJ,2020-07-04 00:00:00,173033,15189,1948.089378858142
NM,2020-07-04 00:00:00,13063,513,622.9883314280754
NY,2020-07-04 00:00:00,396598,32157,2038.691013948552
NC,2020-07-04 00:00:00,71670,1422,683.3469297156659
ND,2020-07-04 00:00:00,3779,80,495.8914104101766
OH,2020-07-04 00:00:00,56183,2907,480.6443609858757
OK,2020-07-04 00:00:00,15648,398,395.4539975147657
OR,2020-07-04 00:00:00,9930,213,235.43430991548308
PA,2020-07-04 00:00:00,93922,6749,733.6516224158604
PR,2020-07-04 00:00:00,7787,155,265.45915194885947
RI,2020-07-04 00:00:00,16991,960,1603.891402458652
SC,2020-07-04 00:00:00,43386,813,842.6570207628546
SD,2020-07-04 00:00:00,7028,97,794.4303963448064
TN,2020-07-04 00:00:00,50140,637,734.2029943884868
TX,2020-07-04 00:00:00,192153,2607,662.6906766516253
UT,2020-07-04 00:00:00,24542,181,765.5122119503749
VT,2020-07-04 00:00:00,1238,56,198.4009333497866
VA,2020-07-04 00:00:00,65109,1849,762.8007154573729
WA,2020-07-04 00:00:00,35247,1354,462.86927472257327
WV,2020-07-04 00:00:00,3205,94,178.8357763062963
WI,2020-07-04 00:00:00,31055,796,533.3680038279523
WY,2020-07-04 00:00:00,1606,20,277.49028524826394
AL,2020-07-31 00:00:00,87723,1580,1789.1023895692292
AK,2020-07-31 00:00:00,2990,23,408.72400194109724
AZ,2020-07-31 00:00:00,174010,3694,2390.6685752447856
AR,2020-07-31 00:00:00,42511,453,1408.6733266971612
CA,2020-07-31 00:00:00,500556,9214,1266.8383654344125
CO,2020-07-31 00:00:00,46791,1838,812.5220534506184
CT,2020-07-31 00:00:00,49810,4432,1397.0824789140397
DE,2020-07-31 00:00:00,14788,585,1518.6431209204693
DC,2020-07-31 00:00:00,12057,584,1708.39774480729
FL,2020-07-31 00:00:00,470386,6843,2190.109693586433
GA,2020-07-31 00:00:00,186352,3752,1755.1528275740734
HI,2020-07-31 00:00:00,2111,26,149.09539845409753
ID,2020-07-31 00:00:00,20716,188,1159.2191666223669
IL,2020-07-31 00:00:00,180115,7692,1421.3821360008164
IN,2020-07-31 00:00:00,66154,2965,982.6477718565008
IA,2020-07-31 00:00:00,44753,872,1418.4471342949607
KS,2020-07-31 00:00:00,27364,358,939.2739677219826
KY,2020-07-31 00:00:00,30151,735,674.8703407791933
LA,2020-07-31 00:00:00,116280,3949,2501.293883962163
ME,2020-07-31 00:00:00,3912,123,291.02552275980275
MD,2020-07-31 00:00:00,88346,3493,1461.3079091185773
MA,2020-07-31 00:00:00,117612,8609,1706.3757534817178
MI,2020-07-31 00:00:00,90574,6450,906.931980702237
MN,2020-07-31 00:00:00,54463,1640,965.7190398238749
MS,2020-07-31 00:00:00,58747,1663,1973.926708642612
MO,2020-07-31 00:00:00,50616,1265,824.7102858070189
MT,2020-07-31 00:00:00,3965,60,370.98443268854714
NE,2020-07-31 00:00:00,26211,332,1354.9881927700878
NV,2020-07-31 00:00:00,48088,830,1561.219626538396
NH,2020-07-31 00:00:00,6583,415,484.14699888432176
NJ,2020-07-31 00:00:00,181660,15819,2045.2163261537976
NM,2020-07-31 00:00:00,20600,642,982.4358590996213
NY,2020-07-31 00:00:00,415014,32689,2133.3574865804776
