,state_x,date,total,covid,pct,rolling_pct,state_y,cases,deaths,incidence,rolling_incidence
138,Massachusetts,2020-08-29,1817,475,0.26141992294991745,0.2728764135378166,MA,446.0,12.0,6.470798779485449,6.161283740705888
139,Massachusetts,2020-08-30,1763,562,0.31877481565513327,0.2922257168884508,MA,199.0,13.0,2.8871949711158322,5.343970591428615
140,Massachusetts,2020-08-31,3792,815,0.21492616033755274,0.2650402996475345,MA,304.0,11.0,4.410589302609196,4.5895276844034925
141,Massachusetts,2020-09-01,4291,1049,0.24446515963644838,0.2593887118763782,MA,355.0,4.0,5.150523692190973,4.149435988638667
142,Massachusetts,2020-09-02,3938,976,0.24784154393092941,0.23574428796831023,MA,294.0,-4.0,4.265504128181419,4.608872374327196
143,Massachusetts,2020-09-03,4339,852,0.1963586079741876,0.2295551038471885,MA,-7636.0,17.0,-110.78703919316422,-33.79033712426394
144,Massachusetts,2020-09-04,3978,677,0.1701860231271996,0.2047953916774389,MA,212.0,23.0,3.0758056978718287,-34.48190978903699
145,Massachusetts,2020-09-05,1921,661,0.34409161894846435,0.23687875001661726,MA,438.0,16.0,6.354730639943227,-33.78550095178306
146,Massachusetts,2020-09-06,1884,392,0.208067940552017,0.24078186087589368,MA,366.0,9.0,5.3101173840618685,4.913551240625641
147,Massachusetts,2020-09-07,1935,694,0.358656330749354,0.30360529674994513,MA,229.0,8.0,3.3224504943998454,4.995766172801647
148,Massachusetts,2020-09-08,3755,883,0.2351531291611185,0.2672924668208299,MA,171.0,8.0,2.480956482717147,3.7045081203929535
149,Massachusetts,2020-09-09,4582,978,0.21344391095591445,0.26908445695546235,MA,181.0,5.0,2.626041657146061,2.8098162114210177
150,Massachusetts,2020-09-10,5143,1323,0.25724285436515654,0.23527996482739652,MA,403.0,20.0,5.8469325294449845,3.651310223102731
151,Massachusetts,2020-09-11,4914,1120,0.22792022792022792,0.23286899774709968,MA,440.0,14.0,6.38374767482901,4.952240620473352
152,Massachusetts,2020-09-12,1783,574,0.32192933258553,0.26903080495697157,MA,554.0,16.0,8.037718663306805,6.7561329558602665
153,Massachusetts,2020-09-13,2253,626,0.27785175321793165,0.2759004379078966,MA,286.0,14.0,4.149435988638743,6.19030077559152
154,Massachusetts,2020-09-14,3939,899,0.22823051535922823,0.27600386705422997,MA,254.0,9.0,3.685163430469629,5.290772694138393
155,Massachusetts,2020-09-15,4585,1213,0.26455834242093784,0.25688020366603265,MA,313.0,6.0,4.541165959594082,4.125255126234151
156,Massachusetts,2020-09-16,5020,1409,0.2806772908366534,0.25782204953893983,MA,306.0,20.0,4.439606337493842,4.221978575852518
157,Massachusetts,2020-09-17,4717,1169,0.24782700869196522,0.26435421398318554,MA,429.0,15.0,6.224153982958114,5.068308760015346
158,Massachusetts,2020-09-18,4366,1015,0.23247824095281722,0.2536608468271453,MA,454.0,9.0,6.586866919028125,5.750209079826694
159,Massachusetts,2020-09-19,2276,696,0.30579964850615116,0.26203496605031124,MA,599.0,26.0,8.690601948233052,7.167207616739764
160,Massachusetts,2020-09-20,2023,536,0.26495304003954523,0.2677436431661713,MA,359.0,15.0,5.208557761961856,6.828675543074344
161,Massachusetts,2020-09-21,4709,1240,0.2633255468252283,0.27802607845697497,MA,256.0,7.0,3.7141804653551844,5.871113391850031
162,Massachusetts,2020-09-22,4897,1293,0.2640392076781703,0.26410593151431466,MA,173.0,11.0,2.50997351760293,3.8109039149733235
163,Massachusetts,2020-09-23,4910,1193,0.2429735234215886,0.25677942597499576,MA,543.0,19.0,7.878124971436819,4.700759651464978
164,Massachusetts,2020-09-24,5165,1222,0.2365924491771539,0.24786839342563763,MA,481.0,15.0,6.978596889983237,5.7888984596743285
165,Massachusetts,2020-09-25,4443,850,0.19131217645734863,0.22362604968536373,MA,488.0,11.0,7.08015651208234,7.312292791167465
166,Massachusetts,2020-09-26,2182,578,0.2648945921173236,0.23093307258394205,MA,569.0,18.0,8.255346424949494,7.43803327567169
167,Massachusetts,2020-09-27,2517,547,0.2173222089789432,0.2245096591845385,MA,592.0,13.0,8.589042326132812,7.974848421054882
168,Massachusetts,2020-09-28,4184,905,0.2163001912045889,0.23283899743361858,MA,430.0,11.0,6.238662500400551,7.694350417160952
169,Massachusetts,2020-09-29,5330,1365,0.25609756097560976,0.22990665371971397,MA,512.0,8.0,7.428360930709914,7.418688585747759
170,Massachusetts,2020-09-30,4946,1236,0.24989890820865346,0.24076555346295073,MA,532.0,33.0,7.7185312795656955,7.128518236892053
171,Massachusetts,2020-10-01,4723,1198,0.2536523396146517,0.25321626959963833,MA,754.0,24.0,10.939422151865529,8.695438120713712
172,Massachusetts,2020-10-02,5233,1652,0.31568889738199885,0.2730800484017681,MA,761.0,10.0,11.040981773965541,9.899645068465588
173,Massachusetts,2020-10-03,2245,935,0.41648106904231624,0.32860743534632225,MA,672.0,17.0,9.749723721556848,10.576709215795972
174,Massachusetts,2020-10-04,1972,823,0.417342799188641,0.38317092187098534,MA,644.0,3.0,9.343485233158162,10.044730242893516
175,Massachusetts,2020-10-05,4627,1352,0.29219796844607737,0.3753406122256782,MA,515.0,20.0,7.471886483037906,8.855031812584306
176,Massachusetts,2020-10-06,4836,1390,0.28742762613730355,0.3323227979240073,MA,495.0,8.0,7.181716134182352,7.999029283459474
177,Massachusetts,2020-10-07,4730,1297,0.2742071881606765,0.2846109275813525,MA,535.0,19.0,7.762056831893688,7.471886483037982
178,Massachusetts,2020-10-08,4507,1683,0.3734191258043044,0.3116846467007615,MA,444.0,8.0,6.441781744600348,7.12851823689213
179,Massachusetts,2020-10-09,4613,1283,0.27812703230002167,0.3085844487550009,MA,765.0,12.0,11.099015843735515,8.434284806743184
180,Massachusetts,2020-10-10,1888,601,0.3183262711864407,0.323290809763589,MA,639.0,10.0,9.270942645944842,8.937246744760236
181,Massachusetts,2020-10-11,2180,716,0.3284403669724771,0.3082978901529798,MA,563.0,17.0,8.168295320292373,9.51275126999091
182,Massachusetts,2020-10-12,3451,1288,0.37322515212981744,0.3399972634295784,MA,760.0,13.0,11.026473256522422,9.488570407586545
183,Massachusetts,2020-10-13,4283,1065,0.24865748307261265,0.3167743340583024,MA,749.0,13.0,10.866879564651526,10.020549380488774
184,Massachusetts,2020-10-14,4550,1219,0.2679120879120879,0.29659824103817267,MA,580.0,17.0,8.414940116820162,10.102764312664704
185,Massachusetts,2020-10-15,5450,1727,0.31688073394495414,0.27781676830988494,MA,587.0,25.0,8.516499738918583,9.266106473463424
186,Massachusetts,2020-10-16,4094,979,0.2391304347826087,0.27464108554655026,MA,767.0,30.0,11.12803287862198,9.353157578120241
